업무 항목 ID,이슈 유형,요약,설명,상위 ID,최초 추정치,소비 시간,만든 날짜,시작 날짜,완료된 날짜,상태,담당자,우선순위,레이블
1,에픽,파운데이션 셋업,Next.js 16 + TS + Tailwind v4 + shadcn 글래스모피즘 스캐폴드와 Apple 디자인 토큰 세팅.,,16200,9300,2026-05-12,2026-05-12,2026-05-13,완료,sjun0500@gmail.com,보통,foundation
2,작업,"프로젝트 스캐폴드 (Next.js 16, TS, Tailwind v4, shadcn/ui)","create-next-app(App Router) 셋업, shadcn primitives 설치, tsconfig 경로 별칭 구성.",1,3600,1080,2026-05-12,2026-05-12,2026-05-12,완료,sjun0500@gmail.com,보통,foundation
3,작업,SiteHeader + 글래스모피즘 디자인 시스템 구축,".glass / .glass-strong / .glass-tint 유틸리티, hero 그라데이션, sticky 헤더.",1,5400,3180,2026-05-12,2026-05-12,2026-05-12,완료,sjun0500@gmail.com,보통,foundation
4,작업,Apple 시스템 컬러 팔레트 + light/dark 토큰,--apple-blue/green/indigo/orange/pink/purple/red/teal/yellow/gray 를 light + dark :root 블록에 정의.,1,1800,840,2026-05-12,2026-05-12,2026-05-12,완료,sjun0500@gmail.com,보통,design
5,작업,AddressForm + 프리셋 칩,"제어형 입력, 프리셋 칩(Chermside / Rocklea), submit 핸들러를 geocode → fetch-overlays 파이프라인에 연결.",1,5400,4200,2026-05-13,2026-05-13,2026-05-13,완료,sjun0500@gmail.com,보통,foundation
6,에픽,초기 5개 모듈 + ArcGIS 파이프라인,Flooding / Bushfire / Heritage / Easements(HV) / Zoning + 병렬 fetch + DB 영속화.,,36000,12600,2026-05-13,2026-05-13,2026-05-21,완료,sjun0500@gmail.com,보통,modules
7,작업,ArcGIS REST 헬퍼 (lib/arcgis.ts) 구현,"queryArcGIS(): point + envelope 쿼리, GeoJSON 파싱, 에러 클래스, EPSG:28356 → EPSG:4326 재투영.",6,7200,1920,2026-05-13,2026-05-13,2026-05-13,완료,sjun0500@gmail.com,보통,modules
8,작업,Flooding 모듈 (BCC + QLD historic),Overall risk + Feb 2022 + Jan 2011 historic event extents.,6,7200,2820,2026-05-14,2026-05-14,2026-05-14,완료,sjun0500@gmail.com,보통,modules
9,작업,Bushfire 모듈,QLD State Hazard Mapping — OVL2_DESC 기반 위험도 분류.,6,3600,1020,2026-05-14,2026-05-14,2026-05-14,완료,sjun0500@gmail.com,보통,modules
10,작업,Heritage & Character 모듈,State + local + character(pre-1947) 3-layer 결합.,6,5400,2460,2026-05-19,2026-05-19,2026-05-19,완료,sjun0500@gmail.com,보통,modules
11,작업,Easements 모듈 v1 (high-voltage only),BCC Major electricity infrastructure overlay 단일 소스 + title search 면책 문구.,6,1800,780,2026-05-19,2026-05-19,2026-05-19,완료,sjun0500@gmail.com,보통,modules
12,작업,Zoning 모듈,City Plan zone code / precinct / LVL1 family 분류.,6,3600,1140,2026-05-20,2026-05-20,2026-05-20,완료,sjun0500@gmail.com,보통,modules
13,작업,Pipeline 병렬 fetch 구현,Promise.all 로 5개 모듈 동시 호출 후 council_data 테이블 영속화.,6,5400,1560,2026-05-20,2026-05-20,2026-05-20,완료,sjun0500@gmail.com,보통,modules
14,작업,RiskLevel union + 모듈별 classifier,none / low / medium / high 분류 체계 + 모듈별 매핑 함수.,6,1800,900,2026-05-21,2026-05-21,2026-05-21,완료,sjun0500@gmail.com,보통,modules
15,에픽,Narrative 엔진 + 모듈 디스플레이,결정론적 narrative stub과 모듈별 웹 디스플레이.,,21600,9900,2026-05-21,2026-05-21,2026-05-24,완료,sjun0500@gmail.com,보통,narrative
