이슈 유형,요약,설명,에픽 이름,에픽 링크,최초 추정치,상태,우선순위,레이블
에픽,파운데이션 셋업,"Next.js 16 + TS + Tailwind v4 + shadcn 글래스모피즘 스캐폴드와 Apple 디자인 토큰 세팅.",PROP-EPIC-1,,3h,완료,보통,foundation
작업,"프로젝트 스캐폴드 (Next.js 16, TS, Tailwind v4, shadcn/ui)","create-next-app(App Router) 셋업, shadcn primitives 설치, tsconfig 경로 별칭 구성.",,PROP-EPIC-1,30m,완료,보통,foundation
작업,SiteHeader + 글래스모피즘 디자인 시스템 구축,".glass / .glass-strong / .glass-tint 유틸리티, hero 그라데이션, sticky 헤더.",,PROP-EPIC-1,1h,완료,보통,foundation
작업,Apple 시스템 컬러 팔레트 + light/dark 토큰,"--apple-blue/green/indigo/orange/pink/purple/red/teal/yellow/gray 를 light + dark :root 블록에 정의.",,PROP-EPIC-1,30m,완료,보통,design
작업,AddressForm + 프리셋 칩,"제어형 입력, 프리셋 칩(Chermside / Rocklea), submit 핸들러를 geocode → fetch-overlays 파이프라인에 연결.",,PROP-EPIC-1,1h,완료,보통,foundation
에픽,초기 5개 모듈 + ArcGIS 파이프라인,"Flooding / Bushfire / Heritage / Easements(HV) / Zoning + 병렬 fetch + DB 영속화.",PROP-EPIC-2,,5h,완료,보통,modules
작업,ArcGIS REST 헬퍼 (lib/arcgis.ts) 구현,"queryArcGIS(): point + envelope 쿼리, GeoJSON 파싱, 에러 클래스, EPSG:28356 → EPSG:4326 재투영.",,PROP-EPIC-2,30m,완료,보통,modules
작업,Flooding 모듈 (BCC + QLD historic),"Overall risk + Feb 2022 + Jan 2011 historic event extents.",,PROP-EPIC-2,1h,완료,보통,modules
작업,Bushfire 모듈,"QLD State Hazard Mapping — OVL2_DESC 기반 위험도 분류.",,PROP-EPIC-2,30m,완료,보통,modules
작업,Heritage & Character 모듈,"State + local + character(pre-1947) 3-layer 결합.",,PROP-EPIC-2,1h,완료,보통,modules
작업,Easements 모듈 v1 (high-voltage only),"BCC Major electricity infrastructure overlay 단일 소스 + title search 면책 문구.",,PROP-EPIC-2,30m,완료,보통,modules
작업,Zoning 모듈,"City Plan zone code / precinct / LVL1 family 분류.",,PROP-EPIC-2,30m,완료,보통,modules
작업,Pipeline 병렬 fetch 구현,"Promise.all 로 5개 모듈 동시 호출 후 council_data 테이블 영속화.",,PROP-EPIC-2,30m,완료,보통,modules
작업,RiskLevel union + 모듈별 classifier,"none / low / medium / high 분류 체계 + 모듈별 매핑 함수.",,PROP-EPIC-2,30m,완료,보통,modules
에픽,Narrative 엔진 + 모듈 디스플레이,"결정론적 narrative stub과 모듈별 웹 디스플레이.",PROP-EPIC-3,,3.5h,완료,보통,narrative
작업,결정론적 narrative stub (모듈별),"renderStub* 함수들이 summary / detail / questions_to_ask / sources 반환 — LLM 미호출.",,PROP-EPIC-3,1h,완료,보통,narrative
작업,module-meta 레지스트리,"모든 모듈의 icons / tints / thingsToKnow / legend / sourceLabel 통합 정의.",,PROP-EPIC-3,1h,완료,보통,narrative
작업,ModuleSection 웹 컴포넌트,"모듈별 카드 + map + narrative + ModuleFacts switch 렌더.",,PROP-EPIC-3,1h,완료,보통,narrative
작업,StatusPill + 출처 인용 표시,"Develo 스타일 'CONSIDERATIONS IDENTIFIED' pill + source URL 인용.",,PROP-EPIC-3,30m,완료,보통,narrative
에픽,Report 페이지 + A4 PDF,"/report/[reportId] 라우트 + @react-pdf/renderer A4 export.",PROP-EPIC-4,,5h,완료,보통,report
작업,/report/[reportId] 페이지 레이아웃,"loadReportPayload + 모듈 순서대로 렌더 + paywall 통합.",,PROP-EPIC-4,1h,완료,보통,report
작업,@react-pdf/renderer A4 셋업,"폰트 / 스타일 / 페이지 primitives / MODULE_ORDER 배열.",,PROP-EPIC-4,1.5h,완료,보통,report
작업,Cover page + 모듈별 페이지 + 디스클레이머 푸터,"브랜드 커버, 요약 통계, 모듈 페이지, 푸터 면책 문구.",,PROP-EPIC-4,1.5h,완료,보통,report
작업,PDF 정적 지도 렌더,"staticmaps + sharp 파이프라인으로 각 모듈 지도 PNG 생성.",,PROP-EPIC-4,1h,완료,보통,report
에픽,Develo 참조 PDF 매칭,"Develo의 비주얼 구조 / 데이터 소스를 우리 리포트와 정렬.",PROP-EPIC-5,,4h,완료,보통,develo-parity
작업,Develo Tingalpa 리포트 분석,"참조 PDF 읽고 구조 / 소스 / 레전드 / risk 분류 체계 파악.",,PROP-EPIC-5,30m,완료,보통,develo-parity
작업,Property polygon 하이라이트 (실제 lot cadastre),"zone polygon 대신 BCC property_boundaries_parcel 사용 — 실제 42.6×21.7m lot 시각화.",,PROP-EPIC-5,1h,완료,보통,develo-parity
작업,Mapbox Satellite Streets basemap 전환,"MapLibre + Mapbox 토큰 + 토큰 없을 때 Esri fallback.",,PROP-EPIC-5,30m,완료,보통,develo-parity
작업,지도별 부동 레전드 카드,"오른쪽 아래 glass 카드에 색상 swatch + 라벨 표시.",,PROP-EPIC-5,30m,완료,보통,develo-parity
작업,Zoom 타이트닝 + polygon 단순화,"~115m half-width 줌 + maxAllowableOffset 0.00003(3m) + line-join round 적용.",,PROP-EPIC-5,30m,완료,보통,develo-parity
