Issue Type,Summary,Description,Epic Name,Epic Link,Original Estimate,Status,Priority,Labels
Epic,Foundation setup,"Next.js 16 + TS + Tailwind v4 + shadcn glassmorphism scaffold and Apple design tokens.",PROP-EPIC-1,,3h,Done,Medium,foundation
Task,"Project scaffold (Next.js 16, TS, Tailwind v4, shadcn/ui)","npx create-next-app with App Router, install shadcn primitives, configure tsconfig paths.",,PROP-EPIC-1,30m,Done,Medium,foundation
Task,SiteHeader + glassmorphism design system,"Frosted-glass utilities (.glass, .glass-strong, .glass-tint), hero gradient, sticky header.",,PROP-EPIC-1,1h,Done,Medium,foundation
Task,Apple system color palette + light/dark tokens,"--apple-blue/green/indigo/orange/pink/purple/red/teal/yellow/gray under light + dark :root blocks.",,PROP-EPIC-1,30m,Done,Medium,design
Task,AddressForm + preset chips,"Controlled input, preset chips (Chermside / Rocklea), submit handler wired to geocode → fetch-overlays.",,PROP-EPIC-1,1h,Done,Medium,foundation
Epic,Initial 5 modules + ArcGIS pipeline,"Flooding, Bushfire, Heritage, Easements (HV), Zoning + parallel fetch + persistence.",PROP-EPIC-2,,5h,Done,Medium,modules
Task,ArcGIS REST helper (lib/arcgis.ts),"queryArcGIS(): point + envelope, GeoJSON parsing, error class, reproject EPSG:28356 → EPSG:4326.",,PROP-EPIC-2,30m,Done,Medium,modules
Task,Flooding module (BCC + QLD historic),"Overall risk + Feb 2022 + Jan 2011 historic event extents.",,PROP-EPIC-2,1h,Done,Medium,modules
Task,Bushfire module,"QLD State Hazard Mapping — OVL2_DESC classification.",,PROP-EPIC-2,30m,Done,Medium,modules
Task,Heritage & Character module,"State + local + character (pre-1947) layers from BCC.",,PROP-EPIC-2,1h,Done,Medium,modules
Task,Easements module v1 (high-voltage only),"BCC Major electricity infrastructure overlay only — title search disclaimer.",,PROP-EPIC-2,30m,Done,Medium,modules
Task,Zoning module,"City Plan zone code / precinct / LVL1 family classification.",,PROP-EPIC-2,30m,Done,Medium,modules
Task,Pipeline + parallel fetch,"Promise.all over 5 modules → council_data persistence.",,PROP-EPIC-2,30m,Done,Medium,modules
Task,RiskLevel union + per-module classifier,"none / low / medium / high taxonomy + per-module mapping.",,PROP-EPIC-2,30m,Done,Medium,modules
Epic,Narrative engine + module display,"Deterministic narrative stubs and per-module web display.",PROP-EPIC-3,,3.5h,Done,Medium,narrative
Task,Deterministic narrative stubs per module,"renderStub* functions returning summary / detail / questions_to_ask / sources — no LLM call.",,PROP-EPIC-3,1h,Done,Medium,narrative
Task,module-meta registry,"Icons, tints, thingsToKnow, legend rows, sourceLabel for every module.",,PROP-EPIC-3,1h,Done,Medium,narrative
Task,ModuleSection web component,"Per-module card with map + narrative + ModuleFacts switch.",,PROP-EPIC-3,1h,Done,Medium,narrative
Task,StatusPill + citations,"Develo-style ""CONSIDERATIONS IDENTIFIED"" pill + source citations.",,PROP-EPIC-3,30m,Done,Medium,narrative
Epic,Report page + A4 PDF,"/report/[reportId] route + @react-pdf/renderer A4 export.",PROP-EPIC-4,,5h,Done,Medium,report
Task,/report/[reportId] page layout,"loadReportPayload + module ordered render + paywall integration.",,PROP-EPIC-4,1h,Done,Medium,report
Task,@react-pdf/renderer A4 setup,"Fonts, styles, page primitives, MODULE_ORDER array.",,PROP-EPIC-4,1.5h,Done,Medium,report
Task,Cover page + per-module pages + disclaimer footer,"Branded cover, summary stats, module pages, footer disclaimer.",,PROP-EPIC-4,1.5h,Done,Medium,report
